Recency,Monetary,Frequency
325,77183.6,1
39,4310.0,7
75,1797.24,4
18,1757.55,1
310,334.4,1
72,2506.04,8
204,89.0,1
232,1079.4,1
95,459.4,1
22,2811.43,3
181,6207.67,1
2,1168.06,2
8,6372.58,4
52,2662.06,3
287,189.9,1
29,5226.23,10
35,552.0,2
40,1313.1,4
291,641.38,2
211,168.9,1
51,3545.69,4
29,1887.96,2
34,1298.04,3
341,364.6,1
25,742.9300000000001,1
10,457.5,2
315,1628.12,2
304,4008.62,1
81,852.24,2
21,2724.81,4
-1,1845.31,5
8,1850.56,5
28,585.27,2
191,401.9,2
15,2780.66,6
79,549.84,1
21,460.89,1
38,1582.6000000000001,4
152,1272.48,2
4,3018.63,12
135,2409.9,2
45,1635.6599999999999,1
1,1108.65,4
98,84.3,1
323,225.6,1
49,427.7,1
148,1710.39,1
22,3415.3,2
49,1708.1200000000001,5
151,2888.55,5
64,11072.67,3
251,693.3299999999999,2
74,1226.88,3
191,758.1,3
187,562.41,3
24,124914.53,21
39,3649.1,9
112,668.58,1
152,600.39,1
15,807.04,4
168,803.5600000000001,3
88,1859.31,8
162,1760.96,2
78,777.2,1
194,582.73,1
21,825.8,3
25,7956.46,9
9,3750.4,4
43,256.4,1
1,6487.45,15
42,5059.32,5
9,13375.87,7
84,806.14,2
79,7829.89,2
334,509.01,1
8,4951.41,18
14,2906.85,2
484,173.55,1
180,172.06,1
-1,5005.46,5
22,133.4,1
57,1002.3100000000001,1
66,476.49,1
44,449.45,1
22,4067.29,4
173,197.88,2
10,9035.52,5
16,430.57,2
134,707.09,1
56,3528.34,1
73,2466.86,6
44,3181.04,3
81,2363.23,7
71,947.4,2
124,826.88,2
18,1189.59,2
5,1344.78,4
10,1212.05,8
17,742.1899999999999,2
217,729.5400000000001,2
10,19824.05,30
51,6572.11,7
53,3938.5499999999997,5
2,7375.79,18
53,723.38,1
15,6816.42,11
22,13219.74,6
180,680.99,1
11,527.2,1
28,3281.63,4
22,5596.32,10
17,2484.98,8
100,4541.72,6
9,1298.66,3
161,334.93,1
17,5417.93,10
332,460.40000000000003,1
105,263.21000000000004,2
165,433.74,2
15,1246.1000000000001,7
81,1043.1,1
21,403.70000000000005,3
23,4257.82,11
161,2169.39,1
187,3723.87,5
18,482.04999999999995,2
232,73.5,1
134,1304.81,3
26,398.27,2
284,176.5,1
142,982.5699999999999,2
243,138.03,2
112,612.29,1
267,1017.68,1
353,383.7,1
3,1312.06,2
28,2502.84,5
-1,2056.89,5
152,340.84,1
36,2634.26,5
142,599.68,1
39,192.72,2
8,1789.77,11
9,4485.72,8
53,1316.66,3
81,348.71000000000004,3
9,1933.48,6
29,1662.28,4
14,125.22,1
89,349.83000000000004,1
335,1089.18,1
91,716.35,2
29,12601.830000000002,3
59,363.95,1
22,5568.35,4
19,13400.24,17
59,981.18,3
273,372.7,1
75,1000.39,2
46,1161.5,2
197,207.79999999999998,2
166,95.19999999999999,1
79,964.83,1
357,168.0,1
39,437.82,2
-1,3692.28,10
32,603.71,2
16,11990.960000000001,5
300,269.96,1
310,561.71,2
112,2134.01,3
68,238.85,1
22,3781.7400000000002,7
261,456.9,1
288,145.92,1
86,351.65,1
22,9401.28,10
-1,4124.69,32
39,519.61,2
51,1020.42,2
227,160.54000000000002,1
315,218.45,1
129,1315.83,5
242,657.8,3
21,2794.51,2
78,440.42,1
158,415.7,1
39,197.71,1
238,511.36,2
-1,7281.38,15
17,2338.15,9
234,2040.1,2
17,196.94000000000003,1
300,144.0,1
39,214.89999999999998,1
28,646.68,2
4,9864.26,2
317,452.84999999999997,1
65,437.6,2
108,418.09999999999997,3
46,3338.2200000000003,10
35,618.27,2
19,3811.22,4
9,3023.08,8
32,1032.58,7
28,2599.04,10
38,577.0600000000001,5
-1,153.12,1
21,739.1999999999999,1
79,254.18,2
60,1579.51,1
78,1126.85,3
22,2099.54,5
52,1193.32,1
74,704.0400000000001,1
57,3344.38,5
159,315.6,1
71,2291.19,4
214,713.3,2
59,355.53,1
21,177.31,1
16,3641.24,9
14,1339.41,3
4,13689.67,20
232,180.1,1
128,305.1,1
106,641.13,2
4,2683.82,2
23,6620.48,9
10,4478.53,7
181,786.46,3
9,1270.88,2
57,640.5,1
-1,2163.98,4
30,1689.18,2
91,6021.9,8
181,671.69,1
238,486.1,1
23,1174.58,3
115,185.9,1
25,1013.26,3
38,3344.64,6
304,477.91,1
109,1775.18,4
49,1346.97,2
22,3722.82,12
124,318.05,1
34,623.51,3
180,314.44,1
99,114.0,1
8,919.98,1
148,2209.85,2
10,601.98,5
17,4051.17,5
11,1643.18,4
18,686.05,1
59,91.68,1
11,245.1,1
23,3849.78,11
-1,4881.88,9
324,63.0,1
-1,620.13,1
11,3807.15,4
2,2744.0299999999997,3
10,2996.05,5
329,225.89999999999998,1
241,610.52,2
91,1970.6,4
24,1331.39,6
42,17628.46,12
-1,1113.02,4
30,862.81,4
14,13787.54,22
1,12288.22,31
4,8476.57,15
24,2283.63,7
28,2863.08,6
637,89.14,1
113,4873.8099999999995,1
25,1247.61,2
205,389.01,1
-1,1035.8,6
4,855.91,4
70,869.67,2
107,582.1,4
28,957.59,3
126,4939.99,4
35,797.71,2
19,219.0,1
71,283.55,1
22,2340.84,8
15,6868.29,9
291,603.42,1
59,2712.91,10
-1,9736.52,15
201,1149.02,3
8,4396.13,13
88,848.55,1
9,4708.86,5
106,353.86,1
133,1053.49,2
32,1030.98,2
71,238.25,1
213,644.95,2
2,5781.73,25
79,2656.13,6
2,997.63,4
16,725.07,5
38,1031.41,4
637,427.8,1
28,2609.1,7
10,3980.7,7
38,836.33,4
113,453.01,1
23,18895.91,12
179,236.26000000000002,1
234,383.95,1
352,110.39999999999999,1
191,779.5699999999999,2
38,234.0,1
665,155.35,1
78,1013.04,2
152,427.6,1
134,546.43,2
51,21279.29,7
22,4196.01,11
4,33719.73,209
22,4090.88,5
276,275.88,1
81,4366.78,1
22,21429.39,6
159,3010.74,3
250,3811.95,2
86,112.07999999999998,1
4,7857.1,13
116,2791.59,2
52,1531.44,3
25,1898.52,2
138,494.08,2
316,1693.88,1
57,6989.63,7
238,1143.6,1
210,1351.45,1
29,892.47,1
17,1386.04,5
19,822.23,6
198,3981.36,8
152,826.74,2
149,2330.92,5
53,2225.91,6
9,574.42,2
423,311.95,1
9,463.66,3
213,91.85,1
192,324.92,1
696,192.60000000000002,1
256,400.53999999999996,1
99,545.48,2
53,860.41,2
18,430.48,1
453,254.03,1
10,6977.04,3
186,427.58,1
125,483.65000000000003,3
177,489.31,1
260,514.85,3
44,229.64000000000001,1
101,125.92,1
147,1063.46,2
176,572.2,2
281,166.04,1
261,1542.08,1
44,942.34,4
95,92.72,1
70,948.88,2
74,1759.5,5
29,397.12,1
59,1474.72,7
44,430.15000000000003,3
112,1018.71,6
161,293.0,2
91,6814.64,6
262,215.05,1
151,383.03,2
145,417.38,1
309,312.38,1
29,2612.86,4
173,134.1,1
181,683.13,2
11,5591.42,14
64,2726.77,4
3,4022.35,25
70,1118.99,2
65,1702.26,8
59,325.96000000000004,2
267,354.09,4
22,871.54,1
120,1050.8899999999999,2
244,135.18,1
294,311.55,1
134,1957.1000000000001,6
5,1324.5,3
665,38.1,1
18,2179.93,6
68,1106.4,2
52,521.2,1
138,147.12,1
26,1568.23,2
340,559.12,1
26,4036.82,7
8,1607.0600000000002,6
84,380.64,2
326,599.97,2
309,374.0,1
143,343.2300000000001,2
57,2218.02,2
24,1535.77,12
236,854.99,2
44,573.22,3
97,298.0,1
9,1463.04,2
24,703.47,4
0,309.05,1
123,1175.22,3
248,1378.4,2
95,354.12,2
24,380.46999999999997,1
156,331.0,3
89,188.14,1
42,372.8,2
37,216.5,2
10,17654.54,28
264,138.68,1
18,509.58,2
11,2919.81,5
176,750.0,2
39,2178.67,5
5,3075.04,8
14,1662.3,5
15,2483.63,5
148,363.65,2
138,3006.15,4
276,594.0,1
2,1335.19,6
17,164.23,1
9,16587.09,37
336,405.38,1
182,176.97,1
0,933.7,4
74,694.05,2
5,2062.7000000000003,5
341,117.85,1
78,415.8,2
21,42055.96,15
24,607.53,3
26,2160.7,7
17,1063.9,4
15,1504.27,4
25,114.14,1
36,11581.8,8
54,913.54,2
131,683.9,3
242,604.51,2
288,462.95,1
64,1603.99,6
16,2064.95,7
89,4167.22,8
24,1843.0,3
173,1064.07,6
43,1387.79,4
9,329.85,1
16,4757.16,11
190,108.07,1
9,4017.54,8
113,266.39,2
10,1856.63,8
30,771.91,1
9,160.18,1
358,1660.9,2
112,135.95,1
300,452.24,4
8,11189.91,86
197,144.8,1
4,738.6,1
185,39.239999999999995,1
8,7374.900000000001,9
59,372.21999999999997,2
35,390.54,1
18,97.5,1
28,1239.38,2
73,558.7,2
292,535.32,1
0,6924.110000000001,15
120,409.5,3
23,503.76,2
23,414.76,4
31,974.4200000000001,3
85,211.32,1
0,1226.89,4
127,455.88,3
106,534.85,3
22,9818.82,13
318,120.94999999999999,1
32,149.05,3
11,5655.91,18
158,513.7,2
56,81.57,1
323,229.46999999999997,1
665,50.550000000000004,1
9,1661.8400000000001,8
21,4810.9400000000005,13
10,3466.2799999999997,10
53,3346.28,5
73,789.89,3
300,204.0,1
16,7277.7,28
25,2616.38,9
182,689.9,2
97,975.36,5
113,6912.0,6
22,661.3199999999999,2
89,1247.5,3
11,799.48,2
52,1010.18,2
357,190.55,1
54,642.77,2
73,921.88,2
138,881.07,3
80,908.46,3
181,676.99,2
36,516.42,1
291,560.47,1
334,305.28000000000003,1
89,629.31,2
56,3237.54,10
14,1835.91,4
182,656.6800000000001,2
14,5836.86,17
34,348.15000000000003,1
65,1214.41,3
-1,271.40000000000003,3
249,183.4,1
253,307.53,1
72,248.61,1
337,346.98,1
0,1119.49,4
696,205.86,1
24,470.8,2
82,115.46000000000001,1
10,344.0,2
1,4436.12,24
192,228.8,1
266,177.15,1
304,919.61,1
119,729.27,4
-1,12627.94,26
21,220.10000000000002,5
179,58.08,1
11,28337.38,11
176,3613.63,9
75,303.75,2
216,416.08000000000004,2
5,58825.83,97
19,8910.82,14
28,345.82,1
4,477.83,5
97,7832.47,8
21,1927.3200000000002,12
70,74.39999999999999,1
77,6010.42,10
9,28882.44,28
334,207.35999999999999,1
234,101.19,1
23,6424.09,24
39,243.94,1
46,1098.48,6
133,76.5,1
44,1531.6200000000001,4
665,350.06,1
29,786.54,2
53,1488.67,7
4,12245.960000000001,24
-1,2294.78,4
138,501.14,1
21,984.91,8
19,1197.81,5
238,30.599999999999998,1
269,283.73,1
183,922.39,2
30,3866.33,3
44,2099.64,8
77,259.17,1
183,64.0,1
23,1073.3,3
261,77.3,1
36,109.8,2
85,1793.58,4
196,3096.0,1
34,2607.61,5
10,3650.41,8
22,962.39,6
16,5064.94,7
108,423.72,3
84,2388.75,5
19,307.09,1
38,110.95,1
39,618.52,4
26,228.91,1
10,712.8000000000001,4
59,3707.12,12
14,1676.06,4
295,1257.8700000000001,1
241,486.22,1
79,971.76,4
5,1741.22,4
1,1201.06,4
50,1437.85,4
22,91.8,1
313,112.75,1
92,1688.29,4
46,1021.48,2
340,417.2,1
18,791.33,4
199,1319.19,4
152,712.88,2
26,116.00999999999999,1
21,468.41,3
211,353.65,2
16,2817.03,3
46,492.84,1
182,282.45,1
26,5725.47,11
45,121.18,1
86,3957.78,9
14,1701.29,10
267,71.4,1
39,1575.89,3
191,236.02,1
11,114.60000000000001,1
18,260.68,2
205,911.94,2
90,117.88,1
135,60.7,1
11,1797.78,4
10,3401.2400000000002,6
10,9817.12,38
19,870.09,4
9,869.46,4
2,250.26000000000002,2
-1,1223.9,6
89,5891.61,8
153,353.48,1
10,1197.42,3
19,788.08,3
56,1520.58,5
267,333.74,1
92,533.98,3
245,62.63999999999999,1
78,819.2900000000001,4
240,847.41,2
200,163.20000000000002,2
32,2155.95,2
60,6463.84,7
36,108.21000000000001,1
201,257.7,1
81,358.0,1
225,160.95,1
59,2806.97,14
3,1357.6,7
74,605.12,2
34,1031.07,1
24,744.85,2
17,700.73,4
261,329.56,1
173,663.65,4
65,270.40000000000003,3
203,600.07,1
122,121.74000000000001,1
50,430.5,1
18,1987.3,6
17,501.12,4
154,465.68,2
122,711.41,3
185,1030.4,2
9,399.51,2
11,698.58,3
90,292.32,1
90,557.62,1
268,944.1,2
263,200.29,1
4,7454.07,35
0,2107.66,5
11,3834.2599999999998,12
8,4521.49,19
5,3214.69,11
0,5346.2300000000005,15
484,590.0,1
301,217.38,1
30,276.56,2
113,138.98,1
152,590.9300000000001,2
15,258.4,4
40,542.73,1
78,137.75,1
92,814.86,3
18,1132.14,3
29,93.66,2
330,201.19,1
23,2709.12,4
155,361.11,1
284,578.9399999999999,2
249,873.74,2
359,201.20000000000002,1
137,87.4,1
23,2089.85,4
119,360.0,1
268,142.5,1
169,371.89,1
103,618.09,4
155,63.75,1
351,300.42,1
21,2000.86,10
31,15.0,1
22,1385.51,3
0,1456.79,5
28,1132.03,3
2,598.57,2
22,1555.32,5
73,775.94,3
79,5977.7300000000005,4
198,2273.68,6
119,640.76,3
17,10845.550000000001,26
65,1548.7,4
72,567.36,2
17,199.48000000000002,1
21,787.85,5
30,7121.95,10
81,675.3,1
112,3627.77,8
316,1308.48,1
120,789.0,2
122,1140.93,3
14,350.9,1
82,3536.82,3
77,795.12,1
216,487.02,1
200,860.12,1
45,10736.48,7
260,775.85,1
177,353.43,1
159,2543.72,3
287,389.5,1
70,341.36,1
182,233.76,1
10,247.32,1
16,979.12,2
243,373.94,1
60,397.97999999999996,1
71,743.53,1
92,674.7,1
80,768.24,1
257,609.95,1
268,439.03,1
152,439.56,1
9,3090.7400000000002,4
17,992.5,2
71,134.95999999999998,1
181,2225.37,2
50,56.160000000000004,1
191,623.4,2
453,308.28000000000003,1
637,754.87,1
30,378.64,1
60,3312.25,3
0,778.65,1
203,1019.76,3
26,572.56,3
30,3639.31,6
250,222.99,1
45,4151.93,7
329,534.57,1
131,677.1,2
11,797.96,3
74,544.08,1
203,59.8,1
32,2520.02,8
156,307.72,1
59,1360.99,2
72,1544.13,5
192,457.34,1
245,621.23,2
17,75.0,1
34,252.49,2
74,572.451,3
2,28117.04,62
24,1003.06,5
107,213.55,1
133,1390.5,3
43,712.5,2
205,640.83,2
11,6127.43,18
152,221.06,1
149,159.85,2
40,1851.08,2
182,2626.3,1
108,1624.21,3
10,3641.32,10
19,582.6,3
10,218.47,1
10,1006.8,4
18,679.45,2
0,1269.1,2
74,534.24,2
24,3809.8900000000003,7
119,196.89,1
14,3408.06,7
255,283.71,1
91,296.64,1
23,1129.14,3
16,3539.37,6
23,291.88,1
26,2043.7199999999998,6
4,2976.15,5
259,590.0,2
165,356.97999999999996,2
24,1058.34,2
17,1766.72,6
5,9646.57,14
49,183.44,2
138,1445.0,3
339,151.5,1
-1,674.68,1
125,307.9,1
10,1083.71,2
-1,5704.97,37
115,165.0,2
21,2531.58,4
38,422.64,2
236,229.59,1
187,1431.78,4
178,1238.47,2
4,1454.58,6
200,300.95,2
45,1804.56,5
232,184.64,1
213,140.34,1
5,313.8,1
233,454.24,1
78,1122.41,3
57,575.4,3
8,8968.31,13
105,449.52,4
38,1215.82,10
95,1269.84,3
97,618.63,2
341,316.26000000000005,1
232,2044.8700000000001,5
10,653.33,2
309,348.05,2
17,1159.11,5
23,1166.77,3
288,1340.32,1
16,292.0,3
71,216.85,1
182,295.93,1
72,4393.63,4
316,458.52,2
107,2479.16,4
66,110.97,1
36,979.72,7
45,1791.56,4
260,251.21,1
215,205.1,1
73,152.20000000000002,1
72,891.12,4
21,1389.41,3
29,2128.42,3
85,659.4399999999999,1
78,122.75,1
-1,3624.35,6
10,1093.65,3
89,125.80000000000001,1
46,3964.88,5
40,680.1800000000001,5
14,628.78,2
30,2287.51,7
78,307.76,2
205,483.8,2
181,210.31,1
64,270.79,3
53,5870.08,25
9,3448.29,7
31,1280.85,7
85,631.34,3
39,291.41,2
12,626.99,3
66,682.41,2
2,918.2,7
319,91.80000000000001,1
86,3740.07,12
73,4149.28,4
28,584.06,2
23,605.06,4
300,174.37,1
126,141.85999999999999,1
81,1799.33,3
84,777.53,2
144,1749.02,3
19,240.22,2
40,874.71,2
173,192.85,1
17,373.75,2
66,239.49,1
12,2092.32,12
205,1384.25,1
50,294.4,2
-1,732.0699999999999,5
10,6717.34,18
5,1687.6000000000001,4
14,467.04,2
282,118.0,1
155,781.03,1
190,142.4,1
152,712.4,1
15,2478.95,9
14,379.65,2
2,1981.92,6
182,1117.13,3
65,247.95999999999998,4
108,2037.0800000000002,5
52,396.97,1
12,697.04,2
47,180.17000000000002,1
5,5153.67,21
312,219.52,1
4,693.32,2
182,428.89,1
26,164.34,1
59,280.53999999999996,3
40,678.01,1
12,1131.88,7
30,1171.8,3
24,1610.46,4
318,417.69,1
3,544.18,3
173,177.34,1
116,213.85,1
89,747.78,5
339,257.23,1
29,1638.47,5
23,7792.36,11
75,2031.78,7
143,3070.42,11
24,2121.27,5
35,1575.16,5
274,1071.03,1
92,949.12,5
52,810.5,3
15,122.64,1
74,1033.34,1
126,354.8,1
120,519.44,3
16,2624.26,4
31,252.1,1
9,1678.1200000000001,4
256,346.6,2
0,1836.34,6
39,94.2,2
45,1095.08,3
35,2707.33,6
5,932.97,2
164,379.65,2
10,382.14,2
9,2639.17,5
205,1573.2,2
34,897.76,3
179,189.47,1
60,84.65,3
149,305.02,1
10,6363.59,21
50,218.55,2
75,349.7,1
37,186.39000000000001,2
18,396.92,2
32,486.82000000000005,2
32,232.6,1
39,3722.42,4
17,827.83,4
217,59.5,1
285,67.23,1
45,3119.44,7
64,72.0,1
152,910.0,1
29,172.25,1
24,1488.32,3
25,65039.62,50
1,2504.13,15
332,151.29999999999998,1
155,308.58000000000004,1
5,2265.12,10
318,99.5,1
-1,2308.06,9
144,711.86,3
68,330.79,1
267,806.41,2
271,296.88,1
49,6328.05,13
120,180.48,1
218,252.06,2
158,228.84,1
222,1079.34,5
269,138.28,1
56,1445.01,6
158,306.55,2
15,1041.68,5
116,799.9,4
273,524.14,1
131,2375.41,3
187,199.85000000000002,1
49,1980.56,8
100,1079.6599999999999,2
28,333.48,2
107,1016.14,6
135,752.6,2
158,610.59,2
28,491.86,1
24,2885.2400000000002,4
241,731.9,2
200,339.59999999999997,1
18,216.9,1
240,350.75,1
71,668.4300000000001,3
16,3131.02,12
0,1341.6,7
214,1156.36,2
162,300.04,1
696,79.6,1
158,948.25,5
53,1647.26,5
288,296.25,1
95,1186.28,6
287,741.26,1
32,282.59999999999997,2
9,2161.35,9
22,5189.52,14
11,3190.55,7
71,659.4100000000001,2
54,286.79,2
50,1070.65,2
218,306.72,1
152,1714.96,1
70,1521.76,3
25,17220.36,37
92,2796.51,10
182,2634.45,4
181,1132.13,3
81,345.0,1
24,25977.16,33
103,178.7,1
170,360.01,2
280,127.84,1
12,912.0,6
9,2462.79,11
515,230.39999999999998,1
75,309.04,2
211,348.8,1
168,1516.0,2
243,195.55,2
0,37153.85,57
116,688.86,2
282,558.32,1
243,324.8,1
138,4599.42,3
255,277.07,1
78,2635.79,7
52,924.6,2
152,256.38,1
515,112.6,1
46,1747.66,5
160,155.05,1
28,1499.01,3
94,814.5,3
42,539.0,3
30,1366.8600000000001,4
122,1579.12,2
22,4027.36,4
23,571.6700000000001,2
59,382.98,2
37,1140.35,3
144,385.64,2
40,632.0,2
18,957.66,2
5,1698.94,5
176,189.5,1
57,412.05,3
22,209.49,1
16,2202.99,6
19,52.199999999999996,1
277,384.8,1
25,834.57,4
4,271.24,2
117,691.73,4
339,85.0,1
-1,3385.62,9
11,361.62,1
182,312.98,1
24,865.0600000000001,3
122,1255.0,3
51,1537.95,2
304,1595.48,1
214,2651.46,3
57,1090.14,1
0,8109.5199999999995,25
94,388.5,3
57,216.17,1
326,201.16,1
14,1245.9,5
18,2209.36,8
188,305.78,1
-1,501.56,4
74,145.67000000000002,1
74,1015.29,3
300,3192.54,2
123,3104.95,4
40,2770.94,8
22,6403.25,13
1,389.6,3
358,540.45,1
37,1786.79,5
152,122.7,1
86,117.24,1
54,1281.53,1
21,3219.77,13
11,17159.52,20
11,1191.13,5
10,2674.48,5
30,787.6,5
200,506.8,2
71,243.56,1
204,349.55,1
1,605.63,2
122,416.90000000000003,1
22,1883.8100000000002,10
26,632.97,4
297,821.1,1
23,564.62,3
28,2593.07,4
50,311.16,1
325,155.93,1
16,388.52,2
94,740.95,3
72,2867.2,5
294,332.64,2
79,2369.55,4
57,2580.91,9
11,626.45,2
49,272.04,2
49,1212.8400000000001,2
29,384.81,2
351,172.25,1
53,351.13,1
17,1838.8500000000001,6
62,678.25,4
23,223.85000000000002,1
74,348.99,1
10,464.57,4
169,842.65,2
57,337.34,2
214,1237.53,2
294,307.4,1
109,608.7900000000001,2
263,922.1,1
179,376.58,1
169,158.85,1
242,71.66,1
23,568.55,3
17,839.14,4
21,5112.96,5
79,561.5699999999999,3
213,90.6,1
360,102.0,1
24,2427.32,6
11,745.06,4
176,674.45,3
187,3251.071,2
52,3515.68,7
70,439.92,2
124,322.96,2
54,1026.42,5
79,598.2,3
21,230.22,2
21,169.55,2
251,664.54,4
145,80.7,1
16,9053.94,18
18,2758.26,8
70,190.25,2
287,264.7,1
49,413.59000000000003,1
120,2526.28,6
206,357.98,1
14,196.79000000000002,2
73,869.87,1
60,200.14,1
39,1871.81,4
-1,2603.43,12
26,920.51,5
-1,7060.13,15
17,320.46,1
19,4147.96,6
213,1266.08,2
65,311.3,1
12,855.97,6
89,76.8,1
30,3466.36,9
39,2313.14,6
15,1393.69,5
10,3901.81,12
4,635.66,1
45,2043.0800000000002,3
134,529.73,2
43,4582.64,7
9,2874.72,5
5,962.19,3
198,695.61,2
159,328.8,1
97,473.02,3
77,505.18,1
52,917.34,1
207,4341.21,4
46,1421.61,3
0,642.8,2
4,631.9,3
225,440.0,1
280,584.07,2
62,327.7,2
60,104.82,1
144,467.66,2
18,2360.09,8
21,17286.86,19
5,2975.59,11
22,651.8199999999999,3
28,1428.02,5
284,626.65,1
176,147.20000000000002,2
78,1560.38,3
181,152.2,1
8,3614.92,12
266,141.41,1
26,652.82,4
109,1659.75,4
284,154.99,1
73,1308.6100000000001,5
160,409.93,1
16,5681.72,4
106,746.36,2
17,15610.390000000001,23
19,225.36,1
154,260.25,2
213,92.46,1
106,725.6400000000001,1
15,8214.65,23
23,6217.96,17
266,183.6,1
22,6140.42,19
9,10464.85,12
4,1353.74,5
266,152.55,1
152,374.7,2
320,265.85,1
19,1438.82,8
151,151.04,1
19,942.26,3
304,122.47,1
40,499.41999999999996,5
65,1049.37,6
154,375.1,1
151,45.599999999999994,1
68,934.52,2
423,182.25,1
36,1018.43,9
9,4448.54,18
150,194.42,1
10,50491.81,13
56,161.0,1
324,76.32000000000001,1
23,4076.91,14
12,442.85,1
11,65164.79,17
273,147.35,1
16,3104.17,11
137,194.9,1
73,5976.79,6
11,1360.28,5
124,216.20999999999998,2
239,1266.23,1
51,2703.23,7
89,597.91,2
72,144.2,1
0,5683.15,12
5,692.85,4
22,2915.15,7
22,1840.42,4
36,386.53,2
19,1382.74,5
143,90.0,1
10,2780.15,4
84,419.58000000000004,1
10,2740.43,3
10,706.1300000000001,3
92,709.71,3
60,637.5,2
17,1123.8600000000001,5
319,483.86,1
2,3586.0299999999997,11
304,605.64,3
38,4690.31,15
119,982.3800000000001,2
46,415.82,1
120,935.05,2
29,915.13,4
696,311.81,1
133,115.8,1
46,3742.2,4
81,4191.0,5
78,483.4,2
233,157.2,1
279,446.62,1
242,658.64,2
75,621.29,2
239,1345.62,2
266,118.75,1
-1,117379.63,55
19,432.88,2
40,507.66,1
19,4693.01,11
126,1110.52,3
173,289.36,2
63,2445.91,4
70,1631.77,2
97,122.53999999999999,1
8,574.84,4
303,363.79,1
10,450.84,4
181,134.46,1
29,3222.3,3
297,576.9000000000001,4
86,559.41,4
28,1620.93,7
40,719.78,2
10,4748.52,25
243,452.89,1
8,197.65,1
71,2054.36,6
16,4654.08,15
10,4684.76,13
269,853.39,2
18,11349.52,21
201,1012.0,2
106,335.52,1
18,701.4,4
218,185.39999999999998,1
60,747.44,7
150,161.03,1
16,466.7,2
239,328.15999999999997,1
183,151.74,1
10,2073.43,6
105,1905.8400000000001,6
53,2241.1,9
30,1070.48,1
50,1004.38,5
11,1789.72,6
16,1839.3,4
11,2004.98,17
42,169.48000000000002,1
211,89.94,1
188,632.4,2
42,3432.8,9
177,683.17,1
122,991.13,3
110,1050.12,4
28,2232.19,5
26,3350.96,10
51,1547.2,3
94,925.71,3
42,2048.07,5
4,1462.72,4
22,775.46,4
75,3144.86,5
80,490.86,2
696,161.0,1
326,146.85,1
43,2380.85,11
89,890.34,2
94,213.70000000000002,1
234,280.55,2
127,2588.77,10
248,1693.45,2
110,1474.06,3
189,136.76999999999998,1
318,302.58,1
30,1904.05,3
10,2879.7000000000003,5
260,969.0600000000001,2
123,3099.7200000000003,5
9,12669.98,9
141,120.0,1
50,1163.45,2
17,2618.23,8
124,333.97,2
109,530.18,2
162,1516.24,3
8,492.65000000000003,1
225,112.32,1
73,437.96,2
35,559.97,4
3,1119.74,3
15,4216.2,3
196,134.04,1
19,3729.34,15
86,595.25,2
21,1910.01,4
23,4628.75,3
198,176.63,3
65,426.6,1
5,911.26,6
11,2314.65,5
31,3883.25,11
0,4871.93,9
147,1046.56,4
40,166.20000000000002,1
17,1305.33,4
